	trial_name	config/seed	config/cluster_method	config/normalization	log_test_fold_pvalue	full_pvalue
0	f93890b0_it0	100	coxPH	alternative	0.3859388981070988	0.00567673679003168
1	f93a1f3e_it0	100	coxPH	default	0.2382632049084409	1.1552687319674664e-05
2	055d2d42_it0	200	coxPH	default	0.6441210187832821	4.3691726314916053e-05
3	152cb742_it0	300	mixture	default	0.04702319527308935	0.0009672256713333653
4	2363d890_it0	200	mixture	alternative	0.19465827645983927	0.00030037141867154683
5	31ab99ec_it0	200	coxPH	alternative	0.14557683951333342	7.090969411474501e-06
6	3f935fb8_it0	200	<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>	alternative	0.10344986447280344	0.00016074060645114116
7	50e4209a_it0	300	coxPH	default	0.3145851069773846	0.0004164010052115991
